DateTime,Username,Comment
2022-09-28 13:23:28,นายวิทยา อุดมศรี,คือ Mercedes-EQS 450+ ที่วิ่งได้ไกลถึง 770 กิโลเมตร / ชาร์จ โดยการทดสอบแบบ WLTP.
2022-09-28 13:24:13,Sukrit,ค่าประกันแพงไหมครับ
2022-09-28 13:26:19,POOH Jirasak,สวัสดีครับ คุณแพน
2022-09-28 13:27:21,นายวิทยา อุดมศรี,ที่ต่างประเทศออกกฎหมายมาบังคับใช้ สำหรับบ้านที่ทำใหม่ ต้องติดตั้งสถานีชาร์จ ev. ในบ้าน
2022-09-28 13:27:28,Aeramon Targaryan,คำถามครับ ระหว่างขับรถ Gasoline ตกหน้าผา กับ PHEV ตกหน้าผา รถแบบไหนจะระเบิดร้ายแรงกว่ากันครับ :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 13:27:51,K_ataphon.y,รอค่ายญี่ปุ่นออก ev อยู่ครับ ตอนนี้ก็ขับ HRV e:hev ไปก่อน:face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 13:28:54,Pen Aek,เค้าคงหมายถึงรถบรรทุก EV. มั้งครับ ที่บรรทุก 2 ตัน :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:29:37,Sam August,ในอนาคต รถไฟฟ้า จะมีรถกระบะไหมครับ
2022-09-28 13:31:07,ZADEOAT,แบตตัวอันตรายเลย
2022-09-28 13:31:25,Pen Aek,ตอนนี้ราคารถยนต์ Pure EV. ยังไม่เป็นมิตรกับเงินในกระเป๋าครับ :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:31:36,Ae mam,คุณนพไปเมกามาได้ลองนั่งtesla s plaid ไหมครับ
2022-09-28 13:31:41,JOTA,ใช่
2022-09-28 13:31:44,N R,ถังน้ำมันรถเอาปืนยิงใส่ตรงๆยังไม่ระเบิดเลยครับ
2022-09-28 13:32:34,ZADEOAT,แบตตัวเคมีทำพิษร้ายแรงเลย
2022-09-28 13:33:00,Danupol MItrut,อันไหนคุ้มกว่ากันคะ ระหว่างทั้งสองแบบ
2022-09-28 13:34:06,ร้าน ป.อะไหล่ บุณฑริก,HEV กับ PHEV อันไหน ประหยัดกว่ากัน เพราะตอน p h e v ไฟหมดกินน้ำมากคับ
2022-09-28 13:34:08,Watcharakon Sawangsri,เห็นข่าวTeslaจะมาเปิดofficialที่ไทยใช่ไหมครับ
2022-09-28 13:34:37,นายวิทยา อุดมศรี,อยากให้สถานีชาร์จรองรับการจ่ายเงินเเบบเงินสด
2022-09-28 13:35:04,มหานคร,ระหว่างชาร์จที่ตู้ สตาร์ทรถตากแอร์ได้ไหมครับ
2022-09-28 13:35:20,Aeramon Targaryan,จะแต่ง PHEV ให้แรง = เพิ่มความจุแบต + ถอด Capaciter ออกรึป่าวครับ :face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 13:35:39,Tanzineko,อนาคตมีที่ชาร์จตามห้างแน่นอนครับช้าหรือเร็วก็ยังคงต้องรอ
2022-09-28 13:35:47,Pakpoom Bunyasrirat,เจอปัญหากับตู้ชาร์จอะไรบ้างไหมครับ
2022-09-28 13:36:03,SIRIKIAT KUSAKUL,ประกันชั้น 3 ถึงเราจะผิด ประกันก็เคลมให้คู่กรณีนี่ครับ แต่ความเสียหายของรถเราต้องซ่อมเอง และค่าเบี้ยปีต่อไปจะแพงขึ้น(ถ้าต่อเจ้าเดิม)
2022-09-28 13:36:14,ร้าน ป.อะไหล่ บุณฑริก,H6 PHEV เดาว่าราคาเท่าไหร่ครับ
2022-09-28 13:36:46,Beckman Manbeck,ดูแลยากมั้ยคับ
2022-09-28 13:36:48,นายวิทยา อุดมศรี,ความเจ๋งของรถเทสล่าคือ สามารถเอาเสียงอื่นเอามาทำเป็นเสียงเเตรรถไดด้วย
2022-09-28 13:37:03,Kharwtom,อยากให้ตู้ชาจมีออโต้ชาจแบบPea volta
2022-09-28 13:37:14,Nathaphan Suriyasak,ท่านนพครับ ถ้าไม่นับที่บ้าน ตู้ชาร์จที่ไหน ประทับใจเซอไพรส์สุดครับ?
2022-09-28 13:37:52,Tanzineko,พี่นพเคยลงคลิปเกี่ยวกับตู้ชาร์จบางตู้ว่างแต่แจ้งเตือนว่าชาร์จไม่ได้เพราะมีคิวรอชาร์จอยู่
2022-09-28 13:38:02,Pen Aek,รถยนต์ Pure EV. สามารถขับลุยน้ำได้กี่ มม. ครับ และสามารถขับลุยน้ำท่วมได้ระยะทางไกลแค่ไหนครับ
2022-09-28 13:38:59,Aeramon Targaryan,ปัญหาคือถ้าเสียงแตรไม่ใช่เสียงแตร จะเพิ่มความเสี่ยงมั้ย :face_with_tears_of_joy::grinning_face_with_sweat:
2022-09-28 13:40:39,ZADEOAT,ถ้ารถไฟฟ้าใช้ไปจนถึงเวลาเปลื่ยนแบตนี้แหละอาจจะร้อนๆหนาวๆเลย
2022-09-28 13:40:58,Krit Koon,ปลั๊กอิน ออกนอกบ้านเติมน้ำมัน
2022-09-28 13:41:22,Aeramon Targaryan,ถ้าต้องชาร์จ 61 นาที จบกัน ค้องจ่ายเต็ม 2 ชม :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 13:41:33,Krit Koon,เห็นคลิป volvo ท่วมหลังคา
2022-09-28 13:42:14,Krit Koon,Volvo XC40 Pure Electric - Underwater 1.7m
2022-09-28 13:42:36,Pen Aek,กี่ มม. ล่ะครับ ที่ว่าลุยน้ำได้
2022-09-28 13:42:42,Pakpoom Bunyasrirat,แบตเตอรี่สามารถแยกซ่อมเป็นส่วนๆได้ไหมครับ
2022-09-28 13:42:42,Kharwtom,คงต้องยกเว้นค่ายนึง รถไฟฟ้า น้ำเข้าแบตผ่านช่องระบายอากาศ
2022-09-28 13:45:11,Kharwtom,8ปี 1.8แสนโล
2022-09-28 13:45:23,มหานคร,แล้วเสียบที่ชาจคาทิ้งไว้เป็นเดือนแบบนี้ค่าไฟไม่ มากหรอคับ
2022-09-28 13:45:25,Krit Koon,ความรู้สึกเสียบที่ชาร์จทิ้งไว้ ไฟจะไหม้บ้าน
2022-09-28 13:45:31,นายวิทยา อุดมศรี,กรณีที่บอกว่าให้ชาร์จเเบตทิ้งไว้เลนกรณีไม่ได้ใช้ เเล้วค่าไฟล่ะคับ??????
2022-09-28 13:45:53,Aeramon Targaryan,8 ปี เท่ากับอายุการใช้งานจริงๆของแบตฯคูณ 2-3 เท่า
2022-09-28 13:46:48,K_ataphon.y,เมื่อไหร่ค่ายฝั่งญี่ปุ่นจะมี EV มาเพิ่มสักทีนะ55
2022-09-28 13:46:54,นายวิทยา อุดมศรี,กรณีรถev.เเบตเตอร์รี่ระเบิด มันอาจจะเกิดจากสาเหตุอะไรบ้าง
2022-09-28 13:46:56,teera noisakran,สมมุติว่าเสียบชาร์ตในโรงแรมที่พัก แท่นชาร์ตก็ไม่ได้เยอะ ลูกค้าคน1มาถึงก็เสียบเลย คนมาที่หลังก็อดชาร์ตดิ เพราะเจาเสียบยันเช้า
2022-09-28 13:46:57,Krit Koon,สมัยก่อนไฟช็อตบ่อย 30ปีที่แล้ว 555
2022-09-28 13:47:42,Pen Aek,แล้วสำหรับคนที่ใช้รถยนต์เยอะๆทุกวัน เหมาะกับการใช้รถยนต์ EV. มั้ยครับ
2022-09-28 13:47:49,Krit Koon,สมัยนี้ปลั๊กพ่วงก็ไหม้บ่อย
2022-09-28 13:49:01,Aeramon Targaryan,สาเหตุเดียวที่ผมนึกออกคือ โดนปองร้าย แบตถึงจะเกิดประกายไฟ :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 13:49:51,fender freez,ปลั๊กไฟอันละ 3000 ก็ไหม้ได้ถ้าระบบไฟหรืออุปกรณ์ระบบไฟฟ้าที่บ้านไม่ได้มาตรฐาน
2022-09-28 13:49:55,Pakpoom Bunyasrirat,แนะนำวิธีเลือกWall Box หน่อยครับควรเลือกจากอะไรเพราะมีหลาายราคามาก
2022-09-28 13:50:19,Pen Aek,แต่ตอนนี้ราคารถยนต์ Pure EV. ยังไม่เป็นมิตรกับเงินในกระเป๋าเลยครับ :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
2022-09-28 13:50:55,K_ataphon.y,ตอนนี้ที่บ้านโละปลั๊กแบบฟิวส์ทิ้งหมดแล้วครับ55
2022-09-28 13:50:56,นายวิทยา อุดมศรี,รถ ev. ยี่ห้อหนึ่ง เคลมว่า วิ่งได้ 137 กิโลเมตรต่อการชาร์จ1 ครั้ง ถ้านำมาวิ่งเฉพาะในกรุงเทพมหานคร มันเพียงพอต่อการใช้งานไหมคัย
2022-09-28 13:51:42,Kharwtom,22าไ
2022-09-28 13:52:29,Aeramon Targaryan,การลดความเสี่ยงจากไฟฟ้าลัดวงจรที่มีประสิทธิภาพสูงสุดคือ เปลี่ยนเสาไฟฟ้าแรงสูงเป็นเตาปฏิกรณ์ :face_with_rolling_eyes:
2022-09-28 13:54:39,Pakpoom Bunyasrirat,รถไฟฟ้ามีแต่ประกันแบตเตอรี่แล้วมอเตอร์หละครับมีประกันไหม
2022-09-28 13:55:14,Aeramon Targaryan,ควรมี 2 คัน คันนึงจอดบ้าน อีกคันจอดที่ทำงาน
2022-09-28 13:55:32,Thanakrit Inmaton,สนใจทำชาเลนจ์วิ่งไปกลับเขาใหญ่ ไม่ต้องชาร์จไหมครับ แฮร่ 
2022-09-28 13:55:50,ร้าน ป.อะไหล่ บุณฑริก,h6 p h e v เดาว่าราคาเท่าไหร่ครับ
2022-09-28 13:56:17,Artit Rungseerotsombat,phev ยังคุ้มอยู่ไหมครับ ถ้าเดินทาง วันละ 100 km
2022-09-28 13:56:30,Bell Exenon,ถ้าเราใช้รถทุกวัน อะไหหล่ส่ววนไหนจะเสื่อมก่อนครับ และค่าใช้จ่ายแต่ละครั้งอย่างไรบ้างครับ
2022-09-28 13:56:36,Ae mam,พี่นพระบบอ้อโต้ไพลอตเหมาะกับบ้านเรากับถนนเมืองไทยไหม แล้วในอนาคตจะใช้ได้จริงเปล่าครับ
2022-09-28 13:56:57,Pen Aek,ลองทำ Content เอารถไฟฟ้าไป Camping กลางป่าซัก 3 วันมั้ยครับ
2022-09-28 13:57:07,K_ataphon.y,ถ้าตจว.ยังไม่พร้อมเล่น ev จริงจัง เล่น honda hrv ehev ดีมั้ยครับ
2022-09-28 13:57:36,Khampee Wang,บ้านเราฝนตกแล้วน้ำท่วมบ่อยๆ อย่างช่วงนี้ก็ท่วมยาว กังวลมั้ย ถ้ามีแล้ว เตรียมอะไรอย่างไรบ้าง
2022-09-28 13:57:39,Pakpoom Bunyasrirat,แค่ช่วยการขับขี่
2022-09-28 13:58:39,นายวิทยา อุดมศรี,ระบบออโต้ไพล็อต สามารถป้องกันคนเมาได้กี่เปอร์เซ็นต์
2022-09-28 13:59:04,Aeramon Targaryan,ถ้าแฮ็ค GPS รถคันข้างหน้าได้ ก็ Full Time Autopilot :face_with_tears_of_joy:
2022-09-28 13:59:26,FARO,รอกะบะวิ่งยาวๆ
2022-09-28 14:00:18,Ev ไปเลยย,ใช้evมา8เดือนแล้ว ตจว.ไม่มีปัญหาโคตรคุ้ม
2022-09-28 14:00:43,Chinookie23,รถไฟฟ้า โคตรแรง กะเอามาซัดแต่พอได้จริง ดันมาอยากแข่งทำrange ให้ได้มากที่สุดแทนซะงั้น กลายเป็นขับรถสุภาพไปเลย:face_with_tears_of_joy:
2022-09-28 14:00:53,Aeramon Targaryan,PHEV ไม่ต้องเผาหัว 
2022-09-28 14:01:30,บริษัท เสริมสิน 1973 จํากัด,อยากรู้ว่าแบตหมดเข็นได้มั้ย
2022-09-28 14:01:32,Pen Aek,@ EV. ไปเลยย ใช้ที่ จ.ไหนครับ ใช้รุ่นอะไรอยู่ครับ
2022-09-28 14:01:37,Watcharakon Sawangsri,เห็นข่าวTeslaจะมาเปิดofficialที่ไทยใช่ไหมครับ
2022-09-28 14:01:49,Sukrit,"ใช้กุญแจแบบไหนเป็นหลัก card ,key flob โทรศัพท์"
2022-09-28 14:01:52,Kittipong Apichatmaetee,Teslabjorn เคยทดสอบเปิดแอร์ต่อเนื่องได้ยาวนานถึง 70 ชม.
2022-09-28 14:01:58,Ae mam,ขับรถไปรับสาวให้สาวว้าว เบนซ์กับเทสล่า สาวจะเลือกนั่งคนไหนครับ
2022-09-28 14:02:16,บริษัท เสริมสิน 1973 จํากัด,หรือถ้าไม่จอดในช่องจอด เช่นในห้าง เข็นได้มั้ยครับ
2022-09-28 14:02:19,K_ataphon.y,ora good cat หรือ mg zs ev ดีครับถ้าเป็น ev คันแรก
2022-09-28 14:02:25,นายวิทยา อุดมศรี,ชาวไร่ชาวสวนจะใช้รถ ev. ยังไงล่ะคับท่าน
2022-09-28 14:02:25,Kharwtom,ปัญหารถไฟฟ้าตอนนี้ ไม่ใช่ปัญหาหาที่ชาจ ไม่ใช่ที่รถ แต่เป็นปัญหาที่การส่งมอบรถ 5555555
2022-09-28 14:02:36,Boat Natthapol,ชาร์จทุกวันกับ 3-4 วันชาร์จที อันไหนดีกว่าครับ
2022-09-28 14:02:40,Thanakrit Inmaton,H6 PHEV ฮะ
2022-09-28 14:03:11,Kittipong Apichatmaetee,Teslabjorn เคยทดสอบ Tesla Model 3 แบต 100% เปิดแอร์ต่อเนื่องได้ยาวนานถึง 70 ชม.
2022-09-28 14:03:26,FARO,200โลไม่พอ
2022-09-28 14:03:28,ZADEOAT,สำหรับรถ EV เป็นอีกหนึ่งทางเลีอกสำหรับผมห่างจากที่ทำงานไม่มากรวมแวะก็ 40 โล+ แล้วผมยังสนเรื่องความคุ้มต่อกิโลมันทำให้ผมเลีอกรถไฟฟ้าเลย 
2022-09-28 14:03:49,Sukrit,E power อาจเหมาะสมกว่าPHEVรึเปล่า
2022-09-28 14:03:49,monster final,H6 PHEV สนใจตัวนี้เลย เหมาะกับชีวิต นานๆที เดินทางไกล
2022-09-28 14:04:07,นายวิทยา อุดมศรี,ในไทยควรจะเปลี่ยนตุ๊กๆใช้น้ำมันเป็นตุ๊กๆ ev ได้เเล้วนะคับ วิ่งได้สัก 3xx กิโลเมตร
2022-09-28 14:04:38,Pakpoom Bunyasrirat,ที่คิดหันมาใช้รถไฟฟ้าเพราะประเทศไทยไม่มีน้ำมันพอ ดังนั้นรถไฟฟ้าคือคำตอบของอนาคต
2022-09-28 14:04:41,Sicksent,ที่จีนมีสถานีเปลี่ยนแบตแบบอัตโนมัติใช้เวลาเปลี่ยนแบตประมาณ 1 นาที โดยใช้เป็นบริการเช่าแบตเป็นแบบรายเดือนครับแต่ใช้ได้กับรถเฉพาะบางโมเดลครับ
2022-09-28 14:04:45,Ev ไปเลยย,รถไฮบริด=มีเมีย2คน รถไฟฟ้า=มีเมียเดียว คิดเอาว่าจะเกิดอะไรขึ้น
2022-09-28 14:05:05,K_ataphon.y,hrv ehev กับ kicks epower ตัวไหนน่าเล่นมากกว่ากันครับ
2022-09-28 14:05:27,Mr. Sunii,แล้วพวก hybrid เฉย ๆ ล่ะครับเป็นไง ยังดีอยู่มั้ย
2022-09-28 14:05:33,นายวิทยา อุดมศรี,ตอนนี้ได้ข่าวว่ากำลังจะสร้างโรงงานเทสล่าเเห่งเเรกแล้วนี่คับ
2022-09-28 14:05:42,Pen Aek,@ EV. ไปเลยย ใช้รถยนต์ไฟฟ้าที่ จ.ไหน แล้วใช้รุ่นไหนอยู่ครับ
2022-09-28 14:06:00,Aeramon Targaryan,ถ้าเอาเซฟๆ ควรใช้ PHEV หลังจากที่อุตสาหกรรมปิโตรเลียมสูญพันธุ์ไปแล้ว 
2022-09-28 14:06:04,Tommy Ratanasevee,ผมเองอยากใช้รถไฟฟ้า แต่ไฟที่บ้านแค่ 15 (45)แอมป์ สอบถามไปที่ กฟน แจ้งว่าต้องเปลี่ยนมิเตอร์ใหม่ เป็น 100 แอมป์ และควรจะต้องเดินสายไฟในบ้านใหม่เพื่อรองรับไฟ 100 แอมป์ ขอมิเตอร์ใหม่เหมือน กฟภ ไม่ได้
2022-09-28 14:06:27,Sukrit,Office ไม่เกินกลางปีหน้าครับ หลายๆสำนักข่าวมองตรงกันว่าช่วงนั้น
2022-09-28 14:06:52,K_ataphon.y,hrv ehev เคยเห็น 22 โลลิตรอยู่
2022-09-28 14:06:54,Thanakrit Inmaton,เรื่อง Hybrid เน้นแรง MG VS HEV ครับ //แรงจริง กินเอาเรื่อง
2022-09-28 14:07:10,note8825,เดือนหน้านี้จะใช้ EV มาครบปีแล้ว ประหยัดค่าใช้จ่ายลงไปเยอะมาก แนะนำมาก ๆ สำหรับคนที่ใช้งานรถทุกวัน และใช้งานรถในเส้นทางเดิม ๆ ยิ่งถ้าเป็นเส้นทางเดิม ๆ แบบอยู่ในระยะแบตหนึ่งชาร์จนี่ยิ่งดีครับ
2022-09-28 14:07:30,Ev ไปเลยย,@Ekapon จ.เลยครับใช้good cat 500อยู่ครับ
2022-09-28 14:07:31,ร้าน ป.อะไหล่ บุณฑริก,h6 PHEV น่าใช้ไหมคับ
2022-09-28 14:07:42,บริษัท เสริมสิน 1973 จํากัด,ขอมิเตอร์แยก 15/45 ได้ครับ
2022-09-28 14:07:51,Sukrit,กฟน ขอมิเตอร์แยกไม่ได้ครับ ต้องมิเตอร์เดิม แต่เดินสายเมนขนาน
2022-09-28 14:07:57,weerapong jadbunma,แล้ว อนาคต ราคาแบต จะมีลดลงมัยครับ 
2022-09-28 14:08:36,Pen Aek,@ EV. ไปเลยย มีปัญหากับท่านั่งขับ และเท้าซ้ายมั้ยครับ :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 14:08:39,Pakpoom Bunyasrirat,รถไฟฟ้าใช้chipในการผลิตข้องค้างมาก จะมีผลต่อราคาที่จะสูงๆขึ้นไปอีกไหมในอนาคต
2022-09-28 14:08:52,นายวิทยา อุดมศรี,เเล้วมอเตอร์ไซค์ EV. ล่ะคับ คิดว่าสมควรซื้อไหมคับ
2022-09-28 14:08:59,Kharwtom,กฟน ได้แค่มิเตอร์เดียวต้องเพิ่มตู้เมนหลักคั่น แล้วแยกไปที่บ้านและก็ที่ชาจรถครับ ไม่ต้องยุ่งภายในบ้าน
2022-09-28 14:09:10,FARO,แรงบิดชนะฟอร์ดได้น่าสนใจ
2022-09-28 14:09:18,K_ataphon.y,hybrid บางรุ่นก็ประหยัดนะครับ ตอนนี้ใช้ hrv อยู่ เคยเห็นเลข 23 โล/ลิตรอยู๋นะครับ
2022-09-28 14:09:47,note8825,ถ้าเป็น กฟน. ให้แจ้งขอเปลี่ยนเป็นมิเตอร์ 30(100) แล้วเดินวงจร Wallbox ต่างหากไปขนานวงจรที่มิเตอร์ครับ กฟน.ยังไม่อนุญาตให้ขอมิเตอร์ 2 ลูก ขอ 2 ลูกได้เฉพาะในเขตกฟภ.
2022-09-28 14:11:21,Pen Aek,บางคำตอบ มียิ้มแบบธุรกิจ :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
2022-09-28 14:11:30,Kharwtom,ดีเซลที่เปนรถยุโรปประหยัดมาก
2022-09-28 14:11:40,Parkphoom Sriboonpan,ราคาดีเซลพอ ๆ กับ 91 เลยครับตอนนี้ :grinning_face_with_smiling_eyes:
2022-09-28 14:11:45,MyGAIN,Mazda2 ดีเซล 20โล/ลิตร สบายมากในเมือง
2022-09-28 14:11:50,Candyman,ทำไมดีเซลประหยัดกว่าเบนซินครับ ผมเพิ่งรู้เลย
2022-09-28 14:11:53,Ev ไปเลยย,สำหรับผมรถไฟฟ้าเหมาะสำหรับคนอยากได้จริง ๆ ครับ พอได้มาเราก็ปรับตัวเข้ากับรถแล้วสิ่งดี ๆ ก็จะตามมา
2022-09-28 14:11:59,บริษัท เสริมสิน 1973 จํากัด,อยากรู้ว่าถ้าจอดรถในห้างเปิดแอร์นอน ความร้อนจากคอยร้อนออกทางไหนครับ ท้ายรถหรือท้องรถครับ
2022-09-28 14:12:10,Rapipong Tantisewee,วันนี้คุยเรื่องรถev ครั้งหน้ามาคุยเรื่อง โซล่าเซลบ้างนะครับ มองๆอยู่
2022-09-28 14:12:17,Sofian Sulong,รอบต่ำ
2022-09-28 14:13:09,Pakpoom Bunyasrirat,รถกระบะไฟฟ้าน่าใช้ไหมครับ
2022-09-28 14:14:34,ชัชชัย วัฒนรัชกิจ,ถ้า Cybertruck มาเมืองไทยน่าจะขายดี เมืองไทยชอบกระบะ
2022-09-28 14:14:52,นายวิทยา อุดมศรี,ข้อควรระวังหรือสิ่งที่ต้องห้ามทำเด็ดขาดสำหรับรถ EV. มีอะไรย้าวคับ
2022-09-28 14:14:59,V Kit,ev. ขับมันส์ ตอนนี้ อยากได้ สักพันแรงม้า555
2022-09-28 14:15:08,บริษัท เสริมสิน 1973 จํากัด,รบกวนสอบถาม ความร้อนจากคอยร้อนออกทางไหนครับ? เกรงใจคนในห้างถ้าจอดนอนครับ
2022-09-28 14:15:11,ZADEOAT,ถ้าสร้างบ้านหลังใหม่ต้องคิดเรื่องพลังงานสะอาดมากขื้นแล้วแหละ
2022-09-28 14:15:57,Pen Aek,ปัญหา Chip Shottess มีผลต่อการผลิตรถยนต์ EV. มั้ยครับ
2022-09-28 14:16:26,บริษัท เสริมสิน 1973 จํากัด,ขอบคุณครับ
2022-09-28 14:16:32,K_ataphon.y,ตอนนี้เล็ง good cat กับ zs ev สอยตัวไหนดีครับ
2022-09-28 14:16:52,Anon V,เคยจอดนอนทั้งคืนไหมครับ
2022-09-28 14:16:57,Mr. Sunii,ใหญ่จริงครับ รอรถนานจัด
2022-09-28 14:17:21,ZADEOAT,ตอนี้ใครให้รถ EV เร็วสุด = เอาเลย 555
2022-09-28 14:17:50,Candyman,good cat คันจริงน่ารักกว่าในรูปเยอะครับ
2022-09-28 14:17:59,Kit Suphakit,ผมนึกว่าไลฟ์ในเพจพี่นพ ก็รอแจ้งเตือน เอะใจอ่านโพส สรุปอยู่แบไต๋ :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
2022-09-28 14:18:19,Vichai Saitia,ฟังครั้งแรก มีแจกรถไหม?????
2022-09-28 14:18:23,Anon V,เห็นว่าไปลุยน้ำท่วมมา มีอะไรที่ต้อง ซ่อมบำรุงไหมครับ
